title,price,rating,availability
A Light in the Attic,51.77,Three,In stock
Tipping the Velvet,53.74,One,In stock
Soumission,50.1,One,In stock
Sharp Objects,47.82,Four,In stock
Sapiens: A Brief History of Humankind,54.23,Five,In stock
The Requiem Red,22.65,One,In stock
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,In stock
The Black Maria,52.15,One,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,In stock
Shakespeare's Sonnets,20.66,Four,In stock
Set Me Free,17.46,Five,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,In stock
Rip it Up and Start Again,35.02,Five,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,In stock
Olio,23.88,One,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,In stock
Libertarianism for Beginners,51.33,Two,In stock
It's Only the Himalayas,45.17,Two,In stock
In Her Wake,12.84,One,In stock
How Music Works,37.32,Two,In stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,In stock
Chase Me (Paris Nights #2),25.27,Five,In stock
Black Dust,34.53,Five,In stock
Birdsong: A Story in Pictures,54.64,Three,In stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,In stock
Aladdin and His Wonderful Lamp,53.13,Three,In stock
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,In stock
Wall and Piece,44.18,Four,In stock
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,In stock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,In stock
The Elephant Tree,23.82,Five,In stock
The Bear and the Piano,36.89,One,In stock
Sophie's World,15.94,Five,In stock
Penny Maybe,33.29,Three,In stock
Maude (1883-1993):She Grew Up with the country,18.02,Two,In stock
"In a Dark, Dark Wood",19.63,One,In stock
Behind Closed Doors,52.22,Four,In stock
You can't bury them all: Poems,33.63,Two,In stock
Slow States of Collapse: Poems,57.31,Three,In stock
Reasons to Stay Alive,26.41,Two,In stock
Private Paris (Private #10),47.61,Five,In stock
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,In stock
Without Borders (Wanderlove #1),45.07,Two,In stock
When We Collided,31.77,One,In stock
"We Love You, Charlie Freeman",50.27,Five,In stock
Untitled Collection: Sabbath Poems 2014,14.27,Four,In stock
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,In stock
Unicorn Tracks,18.78,Three,In stock
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,In stock
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,In stock
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,In stock
This One Summer,19.49,Four,In stock
Thirst,17.27,Five,In stock
The Torch Is Passed: A Harding Family Story,19.09,One,In stock
The Secret of Dreadwillow Carse,56.13,One,In stock
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,In stock
The Past Never Ends,56.5,Four,In stock
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,In stock
The Nameless City (The Nameless City #1),38.16,Four,In stock
The Murder That Never Was (Forensic Instincts #5),54.11,Three,In stock
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,In stock
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,In stock
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,In stock
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,In stock
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,In stock
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,In stock
The Death of Humanity: and the Case for Life,58.11,Four,In stock
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,In stock
The Art Forger,40.76,Three,In stock
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,In stock
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,In stock
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,In stock
Soul Reader,39.58,Two,In stock
Security,39.25,Two,In stock
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,In stock
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,In stock
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,In stock
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,In stock
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,In stock
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,In stock
"Pop Gun War, Volume 1: Gift",18.97,One,In stock
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,In stock
Patience,10.16,Three,In stock
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,In stock
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,In stock
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,In stock
On a Midnight Clear,14.07,Three,In stock
Obsidian (Lux #1),14.86,Two,In stock
My Paris Kitchen: Recipes and Stories,33.37,Two,In stock
Masks and Shadows,56.4,Two,In stock
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,In stock
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,In stock
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,In stock
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,In stock
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,In stock
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,In stock
Join,35.67,Five,In stock
In the Country We Love: My Family Divided,22.0,Four,In stock
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Five,In stock
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,In stock
I am a Hero Omnibus Volume 1,54.63,Three,In stock
How to Be Miserable: 40 Strategies You Already Use,46.03,One,In stock
Her Backup Boyfriend (The Sorensen Family #1),33.97,One,In stock
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,In stock
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,In stock
First and First (Five Boroughs #3),15.97,Four,In stock
Fifty Shades Darker (Fifty Shades #2),21.96,One,In stock
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two,In stock
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two,In stock
Danganronpa Volume 1,51.99,Four,In stock
Crown of Midnight (Throne of Glass #2),43.29,Three,In stock
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,In stock
Camp Midnight,17.08,Four,In stock
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five,In stock
Burning,28.81,Three,In stock
Bossypants,49.46,Two,In stock
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,In stock
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two,In stock
Algorithms to Live By: The Computer Science of Human Decisions,30.81,One,In stock
A World of Flavor: Your Gluten Free Passport,42.95,One,In stock
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five,In stock
A Murder in Time,16.64,One,In stock
A Flight of Arrows (The Pathfinders #2),55.53,Five,In stock
A Fierce and Subtle Poison,28.13,Four,In stock
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One,In stock
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,Five,In stock
You Are What You Love: The Spiritual Power of Habit,21.87,Four,In stock
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Four,In stock
Tuesday Nights in 1980,21.04,Two,In stock
Tracing Numbers on a Train,41.6,Three,In stock
Throne of Glass (Throne of Glass #1),35.07,Three,In stock
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One,In stock
Thirteen Reasons Why,52.72,One,In stock
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,Four,In stock
The Wedding Dress,24.12,One,In stock
The Vacationers,42.15,Four,In stock
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,Five,In stock
The Stranger,17.44,Four,In stock
The Shadow Hero (The Shadow Hero),33.14,One,In stock
The Secret (The Secret #1),27.37,Four,In stock
The Regional Office Is Under Attack!,51.36,Five,In stock
The Psychopath Test: A Journey Through the Madness Industry,36.0,Two,In stock
The Project,10.65,One,In stock
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two,In stock
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two,In stock
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five,In stock
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,In stock
The Mistake (Off-Campus #2),43.29,Three,In stock
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,One,In stock
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,Two,In stock
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,One,In stock
The Kite Runner,41.82,Four,In stock
The House by the Lake,36.95,One,In stock
The Glittering Court (The Glittering Court #1),44.28,One,In stock
The Girl on the Train,55.02,Two,In stock
The Genius of Birds,17.24,One,In stock
The Emerald Mystery,23.15,Two,In stock
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One,In stock
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,Three,In stock
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five,In stock
The Art of War,33.34,Five,In stock
The Argonauts,10.93,Two,In stock
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three,In stock
Suddenly in Love (Lake Haven #1),55.99,Two,In stock
Something More Than This,16.24,Four,In stock
Soft Apocalypse,26.12,Two,In stock
So You've Been Publicly Shamed,12.23,Two,In stock
Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two,In stock
"Shobu Samurai, Project Aryoku (#3)",29.06,Three,In stock
Secrets and Lace (Fatal Hearts #1),20.27,One,In stock
Scarlett Epstein Hates It Here,43.55,Five,In stock
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One,In stock
Redeeming Love,20.47,Five,In stock
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One,In stock
Poems That Make Grown Women Cry,14.19,Four,In stock
"Nightingale, Sing",38.28,One,In stock
Night Sky with Exit Wounds,41.05,One,In stock
Mrs. Houdini,30.25,Five,In stock
Modern Romance,28.26,Five,In stock
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,One,In stock
Louisa: The Extraordinary Life of Mrs. Adams,16.85,Two,In stock
Little Red,13.47,Three,In stock
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,Five,In stock
Large Print Heart of the Pride,19.15,Two,In stock
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four,In stock
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,One,In stock
Grumbles,22.16,Two,In stock
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,In stock
Frostbite (Vampire Academy #2),29.99,Five,In stock
Follow You Home,21.36,One,In stock
First Steps for New Christians (Print Edition),29.0,One,In stock
Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,In stock
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,In stock
Eureka Trivia 6.0,54.59,Four,In stock
Drive: The Surprising Truth About What Motivates Us,34.95,Four,In stock
Done Rubbed Out (Reightman & Bailey #1),37.72,Five,In stock
Doing It Over (Most Likely To #1),35.61,Three,In stock
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three,In stock
